// Format: letter #|letter from passage|predicted letters|scan time
2290|o|EIAOR|5
2291| |RNPMS|3
2292|f|TBOAI|8
2293|a|IOEAR|5
2294|c|CRNLS|2
2295|e|TEIHU|3
2296| |SDTPM|3
2297|c|TBOAI|8
2298|o|OHAEK|2
2299|m|MNRLU|2
2300|m|PMBEI|3
2301|u|EUIOA|3
2302|n|NTISL|2
2303|i|IAECT|2
2304|c|CTSQO|2
2305|a|AIHOE|2
2306|t|TBNDS|2
2307|i|IEOUA|2
2308|o|OVNEI|2
2309|n|NUSTR|2
2310|,|SACEM|5
2311| |SACEM|3
2312|b|TBOAI|3
2313|u|EAOLI|10
2314|t|RSTLN|4
2315| |TEIAO|3
2316|f|TBOAI|8
2317|o|IOEAR|3
2318|r|RLNOU|2
2319| |MDETC|3
2320|t|TBOAI|2
2321|e|EIAOR|2
2322|l|RDNSL|6
2323|e|ELYSI|2
2324|p|CSPFM|4
2325|h|HOARL|2
2326|o|OAIUR|2
2327|n|NTSRL|2
2328|e|EIYOA|2
2329| |SDNTC|3
2330|c|TBOAI|8
2331|o|OHAEK|2
2332|m|MNRLU|2
2333|m|PMBEI|3
2334|u|EUIOA|3
2335|n|NTISL|2
2336|i|IAECT|2
2337|c|CTSQO|2
2338|a|AIHOE|2
2339|t|TBNDS|2
2340|i|IEOUA|2
2341|o|OVNEI|2
2342|n|NUSTR|2
2343| |SACEM|3
2344|a|TBOAI|5
2345|n|NRLTS|2
2346|d|DTSGA|2
2347| |EAISR|3
2348|v|TBOAI|9
2349|i|EIAOS|3
2350|d|LSENC|7
2351|e|EIAUS|2
2352|o|ONRDS|2
2353| |CSTGP|3
2354|c|TBOAI|8
2355|o|OHAEK|2
2356|n|MNRLU|3
2357|f|TSFCD|4
2358|e|IEOLU|3
2359|r|RSDCT|2
2360|e|ERMSN|2
2361|n|NEDRT|2
2362|c|CZTDS|2
2363|i|EIJZY|3
2364|n|NAEOL|2
2365|g|GAIOE|2
2366| |SLCUP|3
2367|a|TBOAI|5
2368|n|NRLTS|2
2369|d|DTSGA|2
2370| |EAISR|3
2371|v|TBOAI|9
2372|o|EIAOS|5
2373|i|LRINC|4
2374|c|CDRSE|2
2375|e|EIUHA|2
2376| |SDMPO|3
2377|c|TBOAI|8
2378|h|OHAEK|3
2379|a|EAIOR|3
2380|t|RNTLM|4
2381|,|TECSO|5
2382| |TECSO|3
2383|a|TBOAI|5
2384|n|NRLTS|2
2385|d|DTSGA|2
2386|,|EAISR|5
2387| |EAISR|3
2388|w|TBOAI|5
2389|e|AEIWO|3
2390|l|RBLSI|4
2391|l|LTCSD|2
2392|,|ESINB|5
2393| |ESINB|3
2394|y|TBOAI|9
2395|o|SANLE|12
2396|u|UNSRT|2
2397| |NRTSG|3
2398|g|TBOAI|9
2399|e|EAIRO|2
2400|t|NRSTL|5
2401| |TSIAC|3
2402|t|TBOAI|2
2403|h|EIAOR|10
2404|e|EOIAR|2
2405| |RSNOA|3
2406|i|TBOAI|6
2407|d|NSCTL|7
2408|e|EAIGO|2
2409|a|SNROL|5
2410|.|LSNUT|4
2411||LSNUT|18
// Total scan time: 10326
